Ime (ID),Zlato,Srebro,Bron,Skupaj
Piotr Zyla (POL),0,0,0,0
Coline Mattel (FRA),0,0,0,0
Severin Freund (GER),0,0,0,0
Sara Takanasi (UNK),0,0,0,0
Rune Velta (NOR),0,0,0,0
Juliane Seyfarth (GER),0,0,0,0
Daniel Tschofenig (AUT),0,0,0,0
Robert Kranjec (YUG),0,0,0,0
Jukija Sato (UNK),0,0,0,0
Andreas Wellinger (GER),0,0,0,0
Antti Aalto (UNK),0,0,0,0
Dzunsiro Kobajasi (UNK),0,0,0,0
Anette Sagen (NOR),0,0,0,0
Ulrike Graler (UNK),0,0,0,0
Julia Kykkanen (FIN),0,0,0,0
Lisa Demetz (UNK),0,0,0,0
Taylor Henrich (CAN),0,0,0,0
Jenny Rautionaho (FIN),0,0,0,0
Vladimir Zografski (BUL),0,0,0,0
Chiara Holzl (AUT),0,0,0,0
Gregor Deschwanden (SUI),0,0,0,0
Sarah Hendrickson (U.S),0,0,0,0
Stefan Kraft (AUT),0,0,0,0
Maximilian Ortner (UNK),0,0,0,0
Spela Rogelj (SLO),0,0,0,0
Maciej Kot (POL),0,0,0,0
Aleksander Zniszczo (UNK),0,0,0,0
Lukas Hlava (CZE),0,0,0,0
Simon Ammann (SUI),0,0,0,0
Ren Nikaido (JPN),0,0,0,0
Johann Andre Forfang (NOR),0,0,0,0
Andreas Wank (GER),0,0,0,0
Jernej Damjan (YUG),0,0,0,0
Tomofumi Naito (JPN),0,0,0,0
Bor Pavlovcic (SLO),0,0,0,0
Juki Ito (UNK),0,0,0,0
Noriaki Kasai (JPN),0,0,0,0
Taku Takeuci (UNK),0,0,0,0
Abigail Strate (CAN),0,0,0,0
Timi Zajc (SLO),0,0,0,0
Andrzej Stekaa (UNK),0,0,0,0
Roman Koudelka (UNK),0,0,0,0
Dawid Kubacki (POL),0,0,0,0
Lovro Kos (SLO),0,0,0,0
Anna Odine Strm (UNK),0,0,0,0
Julia Muhlbacher (UNK),0,0,0,0
Nika Prevc (SLO),0,0,0,0
Dimitrij Vasiljev (UNK),0,0,0,0
Carina Vogt (GER),0,0,0,0
Piotr Zya (UNK),0,0,0,0
Stephan Embacher (AUT),0,0,0,0
Svenja Wurth (GER),0,0,0,0
Nika Kriznar (SLO),0,0,0,0
Martin Koch (AUT),0,0,0,0
Kristoffer Eriksen Sundal (UNK),0,0,0,0
Eva Pinkelnig (AUT),0,0,0,0
Anders Bardal (NOR),0,0,0,0
Andreas Stjernen (NOR),0,0,0,0
Jonas Schuster (UNK),0,0,0,0
Markus Eisenbichler (GER),0,0,0,0
Manuel Fettner (AUT),0,0,0,0
Thea Minyan Bjrseth (UNK),0,0,0,0
Ramona Straub (GER),0,0,0,0
Marius Lindvik (NOR),0,0,0,0
Stephan Leyhe (GER),0,0,0,0
Anze Lanisek (SLO),0,0,0,0
Anders Jacobsen (NOR),0,0,0,0
