Ime (ID),Zlato,Srebro,Bron,Skupaj
Silje Opseth (NOR),28,64,11,103
Nika Križnar (SLO),6,12,30,48
Julia Mühlbacher (AUT),0,0,19,19
Frida Westman (SWE),0,14,0,14
Jacqueline Seifriedsberger (AUT),0,0,13,13
Abigail Strate (CAN),0,0,13,13
Julia Clair (FRA),0,0,12,12
Ema Klinec (SLO),0,0,11,11
Svenja Würth (GER),0,0,11,11
Juki Ito (-1),0,0,9,9
Carina Vogt (GER),0,0,7,7
Taylor Henrich (CAN),0,0,5,5
Sarah Hendrickson (USA),0,0,0,0
Coline Mattel (FRA),0,0,0,0
Melanie Faißt (GER),0,0,0,0
Sabrina Windmüller (SUI),0,0,0,0
Lindsey Van (USA),0,0,0,0
Lisa Demetz (ITA),0,0,0,0
Sara Takanashi (JPN),0,0,0,0
Jessica Jerome (USA),0,0,0,0
Daniela Iraschko (AUT),0,0,0,0
Anette Sagen (-1),0,0,0,0
Ulrike Gräßler (GER),0,0,0,0
Katja Požun (SLO),0,0,0,0
Irina Avakumova (RUS),0,0,0,0
Bigna Windmüller (SUI),0,0,0,0
Maren Lundby (NOR),0,0,0,0
Evelyn Insam (ITA),0,0,0,0
Julia Kykkänen (FIN),0,0,0,0
Špela Rogelj (SLO),0,0,0,0
Nižni Tagil (-1),0,0,0,0
Eva Pinkelnig (AUT),0,0,0,0
Maja Vtič (SLO),0,0,0,0
Irina Avvakumova (RUS),0,0,0,0
Katharina Althaus (GER),0,0,0,0
Manuela Malsiner (ITA),0,0,0,0
Chiara Hölzl (AUT),0,0,0,0
Ramona Straub (GER),0,0,0,0
Juliane Seyfarth (GER),0,0,0,0
Anna Odine Strøm (NOR),0,0,0,0
Urša Bogataj (SLO),0,0,0,0
Marita Kramer (AUT),0,0,0,0
Lara Malsiner (ITA),0,0,0,0
Eirin Maria Kvandal (NOR),0,0,0,0
Aleksandra Kustova (RUS),0,0,0,0
Joséphine Pagnier (FRA),0,0,0,0
Lisa Eder (AUT),0,0,0,0
Selina Freitag (GER),0,0,0,0
Alexandria Loutitt (CAN),0,0,0,0
Chiara Kreuzer (AUT),0,0,0,0
Nozomi Maruyama (JPN),0,0,0,0
Nika Prevc (SLO),0,0,0,0
Jenny Rautionaho (FIN),0,0,0,0
Katharina Schmid (GER),0,0,0,0
Thea Minyan Bjørseth (NOR),0,0,0,0
Agnes Reisch (GER),0,0,0,0
Heidi Dyhre Traaserud (NOR),0,0,0,0
Nika Vodan (SLO),0,0,0,0
Zeng Ping (CHN),0,0,0,0
